English,Polish
you'll,będziesz
own,własny
family,rodzina
whole,cały
another,inny
Jack or jack,Jack lub Jack
yourself,się
idea,pomysł
ask,zapytać
best,"to, co najlepsze"
must,musieć
old,stary
looking,patrząc
woman,kobieta
hello,Witam
which,Który
years,lata
room,pokój
money,pieniądze
left,lewy
knew,Wiedziałem
tonight,dziś wieczorem
real,prawdziwy
son,syn
hope,mieć nadzieję
name,nazwa
same,To samo
went,wszedł 
um,um
hmm,Hmm
happy,szczęśliwy
pretty,ładny
saw,piła
girl,dziewczyna
sir,Pan
show,pokazywać
friend,przyjaciel
already,już
saying,powiedzenie
may or May,może lub maja
next,Następny
three,trzy
job,stanowisko
problem,problem
minute,minuta
found,znaleziony
world,świat
thinking,myślący
haven't,nie
heard,usłyszał
honey,Miód
matter,materiał
myself,ja
couldn't,nie mogłem
exactly,Dokładnie
having,mający
ah,Ah
probably,prawdopodobnie
happen,zdarzyć
we've,Mamy
hurt,zraniony
boy,chłopak
both,Zarówno
while,chwila
dead,martwy
gotta,musieć
alone,sam
since,od
excuse,wymówka
start,początek
kill,zabić
hard,twardy
you'd,byś
today,Dzisiaj
car,samochód
ready,gotowy
until,dopóki
without,bez
whatever,cokolwiek
wants,chce
hold,trzymać
wanna,chcieć
yet,już
seen,widziany
deal,umowa
took,wziął
once,raz
gone,stracony
called,zwany
morning,Poranek
supposed,przypuszczalny
friends,przyjaciele
head,głowa
stuff,rzeczy
most,bardzo
used,używany
worry,martwić się
second,drugi
part,część
live,na żywo
truth,prawda
school,szkoła
face,twarz
forget,zapominać
TRUE,PRAWDA
business,biznes
each,każdy
cause,przyczyna
soon,Wkrótce
knows,wie
few,kilka
telling,wymowny
wife,żona
who's,kto jest
use,używać
chance,szansa
run,uruchomić
move,przenosić
anyone,ktokolwiek
person,osoba
bye,do widzenia
J.,J.
somebody,ktoś
Dr. or dr.,Dr lub dr.
heart,serce
such,taki
miss,chybić
married,żonaty
point,punkt
later,później
making,zrobienie
meet,poznać
many,wiele
phone,telefon
reason,powód
damn,Cholera
lost,zaginiony
looks,Wygląd
bring,przynieść
case,sprawa
turn,zakręt
wish,życzenie
tomorrow,jutro
kids,Dzieci
trust,zaufanie
check,sprawdzać
change,zmiana
end,koniec
late,późno
anymore,nie więcej
five,pięć
least,najmniej
town,miasto
aren't,nie są
ha,ha
working,pracujący
year,rok
makes,robi
taking,nabierający
means,oznacza
brother,brat
play,grać
hate,nienawidzić
ago,temu
says,mówi
beautiful,Piękny
gave,dał
fact,fakt
crazy,zwariowany
party,impreza
sit,siedzieć
open,otwarty
afraid,przestraszony
between,między
important,ważny
rest,odpoczynek
fun,zabawa
kid,dziecko
word,słowo
watch,oglądać
glad,zadowolony
everyone,wszyscy
days,dni
sister,siostra
minutes,minuty
everybody,wszyscy
bit,fragment
couple,para
whoa,Whoa
either,albo
Mrs.,Pani.
feeling,uczucie
wow,Wow
gets,dostaje
asked,spytał
under,pod 
break,przerwa
promise,obietnica
door,drzwi
set,ustawić
close,zamknąć
hand,ręka
easy,łatwy
doctor,lekarz
tried,wypróbowany
far,daleko
walk,chodzić
needs,wymagania
trouble,kłopoty
though,chociaż
times,czasy
different,różny
killed,zabity
anybody,ktoś
Sam or SAM,Sam lub Sam
alright,W porządku
wedding,ślub
shut,zamknąć
able,zdolny
die,umierać
perfect,doskonały
police,Policja
stand,podstawka
comes,pochodzi
hit,uderzyć
story,fabuła
ya,ya
mm,mm
waiting,Czekanie
dinner,kolacja
against,przeciwko
funny,śmieszny
husband,mąż
almost,prawie
stupid,głupi
pay,płacić
answer,odpowiedź
four,cztery
office,biuro
cool,Fajny
eyes,oczy
news,Aktualności
child,dziecko
shouldn't,nie powinno
side,strona
yours,twój
moment,za chwilę
sleep,spać
read,Czytać
where's,Gdzie jest
started,Rozpoczęty
young,młody
men,mężczyźni
sounds,Dźwięki
sonny or Sonny,Sonny lub Sonny
lucky,mający szczęście
pick,wybierać
sometimes,Czasami
em,em
bed,łóżko
also,Również
date,data
line,linia
plan,plan
hours,godziny
lose,stracić
fire,ogień
free,bezpłatny
hands,ręce
serious,poważny
Leo,Lew
shit,gówno
behind,za
inside,wewnątrz
